Year,Annual Mean Precipitation 
1901,1071.26
1902,1017.68
1903,1370.8
1904,1085.16
1905,960.97
1906,1020.74
1907,1101.47
1908,1080.17
1909,994.39
1910,1176.0
1911,1067.51
1912,1133.28
1913,1171.3
1914,1176.0
1915,1147.14
1916,1293.55
1917,1041.17
1918,1220.37
1919,961.95
1920,1261.86
1921,957.57
1922,1011.51
1923,1232.65
1924,1380.22
1925,1094.42
1926,1068.07
1927,1224.1
1928,1394.25
1929,1204.17
1930,1343.4
1931,1200.41
1932,1077.76
1933,851.38
1934,1151.2
1935,1068.51
1936,1125.43
1937,1135.03
1938,1260.76
1939,1085.78
1940,1152.76
1941,1006.18
1942,1100.91
1943,1115.04
1944,1128.99
1945,1058.35
1946,1271.18
1947,1277.78
1948,1275.92
1949,1061.64
1950,1227.92
1951,1210.41
1952,938.01
1953,943.57
1954,1291.08
1955,1000.95
1956,1114.32
1957,1124.05
1958,1299.94
1959,1109.97
1960,1388.42
1961,1115.08
1962,1086.0
1963,1062.91
1964,1124.71
1965,1251.3
1966,1264.89
1967,1151.61
1968,1172.02
1969,965.37
1970,1117.25
1971,864.01
1972,1094.4
1973,1049.56
1974,1195.98
1975,944.2
1976,1030.26
1977,1186.23
1978,1117.57
1979,1217.04
1980,1248.28
1981,1183.39
1982,1294.12
1983,1138.95
1984,1125.07
1985,1176.76
1986,1273.75
1987,1037.14
1988,1235.33
1989,1056.7
1990,1193.79
1991,1074.42
1992,1136.8
1993,1232.64
1994,1312.17
1995,1158.88
1996,1146.77
1997,1150.4
1998,1318.77
1999,1264.76
2000,1288.24
2001,973.28
2002,1453.81
2003,1001.85
2004,1119.15
2005,1099.32
2006,1213.15
2007,1103.07
2008,1352.58
2009,1382.19
2010,1055.1
2011,1175.29
2012,1218.65
2013,1126.59
2014,1357.32
2015,1372.15
2016,1128.37
2017,1178.49
2018,1209.96
2019,1293.03
2020,1355.8
2021,1150.11
2022,1152.55
