Temperature Anomoly,Year
,2000.0
,1993.54769
,1987.41829
,1981.61153
,1974.51395
,1967.73776
,1960.95945
,1953.20879
,1944.51824
,1936.47962
,1927.78367
,1919.39187
0.88,1911.62621
1.84,1903.18797
3.04,1894.94376
0.35,1885.58489
-0.42,1876.84923
0.05,1868.06756
0.05,1859.24075
-0.52,1850.02969
0.79,1840.11121
-0.55,1830.74112
-1.11,1820.59622
0.38,1810.06111
-0.4,1799.89795
1.05,1789.41995
0.28,1778.98166
-0.72,1768.55534
-1.23,1758.51717
0.51,1748.12767
-2.44,1737.81374
0.42,1726.83708
0.84,1716.26091
0.71,1705.35927
-0.02,1694.50027
-0.14,1683.38791
-1.41,1672.22903
-0.34,1660.74994
0.16,1648.95697
-1.22,1637.55823
-0.41,1626.1454800000001
-0.59,1614.42175
0.03,1603.11871
-0.67,1591.49179
-0.9,1579.09888
-1.53,1567.12564
-0.47,1554.81442
-0.12,1542.53442
0.21,1531.24509
-1.73,1519.6022600000001
0.16,1507.59082
0.14,1495.90085
-0.56,1483.87482
-0.8,1471.78567
0.42,1459.6028099999999
-2.36,1446.94269
-0.85,1434.3490000000002
-0.36,1421.23578
1.26,1408.39142
0.7,1395.06879
-0.77,1382.24579
1.4,1369.40015
-0.87,1356.48865
-0.81,1343.52612
1.46,1330.53394
0.98,1317.95129
0.27,1305.01288
-0.96,1291.74243
-0.61,1277.8716399999998
-0.63,1263.3489399999999
-0.49,1249.32068
-0.96,1234.97296
-1.44,1220.7222900000002
-0.91,1205.76135
-0.1,1191.25659
-0.16,1177.59253
0.32,1164.16382
0.03,1151.09949
0.56,1137.69263
0.94,1125.1893300000002
1.17,1112.89996
1.5,1100.62097
-1.03,1088.03009
0.59,1074.63165
-1.41,1060.90759
0.92,1046.8337999999999
-1.03,1032.6682700000001
-0.67,1018.02484
-0.55,1003.01807
-0.75,988.77295
0.38,974.23511
-0.4,959.84192
-0.44,945.45996
-0.95,931.2149
0.14,917.61853
0.99,903.33545
0.36,889.4108900000001
-0.75,875.20398
-0.8,860.9231
0.72,846.2947999999999
-0.54,831.8402100000001
1.55,817.3481400000001
-0.9,803.20911
-0.34,789.0775100000001
0.93,775.60645
1.03,761.8879400000001
0.88,748.50171
-0.54,734.9637499999999
0.58,720.67786
0.37,706.3961200000001
0.27,691.7775899999999
-0.16,677.4084499999999
-0.3,663.0203899999999
1.23,648.2906499999999
0.22,634.13049
0.89,619.5459000000001
-0.17,605.2907700000001
1.55,591.3783000000001
0.89,577.38428
-0.17,563.38489
-0.02,549.3792699999999
-0.48,534.07935
-0.7,518.0994900000001
-0.45,502.1097400000001
1.04,486.73145
-0.93,471.2648899999999
-0.32,455.7841800000001
-0.54,440.32152999999994
-0.27,424.9139399999999
0.9,409.48803999999996
-0.92,393.66247999999996
0.04,378.01306
0.24,361.98389
-1.15,345.91748000000007
-0.84,329.4201700000001
0.73,312.8934300000001
-1.24,295.98523
0.42,279.82141
0.35,263.98254
-0.81,247.74658
-0.56,230.23217999999997
-0.11,213.02502000000004
0.1,195.83105
0.55,179.3991699999999
-1.41,162.59814000000006
0.25,145.7690399999999
-1.04,128.02550999999994
-0.99,110.65526999999997
0.35,93.50171
-1.06,77.43346999999994
1.79,61.01183999999989
0.0,44.54137999999989
0.01,27.988399999999956
