Year,CO2 (ppmv),Temperature,Year(for Temp),Celsius Temperature,Temperature Anomaly,Year (for CH4),CH4 Mean,Year (for Ire records),Annual Mean Temperature (Ire),Temp Anomaly (Ire),Year (for Ire records),Annual Mean Precipitation (Ire),Precipitation Anomaly (Ire)
-803718.8684046668,207.28544010704545,211.4,-818143.9,-61.74999999999997,-6.011494252873554,-797446,399.0,1901.0,8.83,-0.5999999999999996,1901.0,1071.26,-57.52999999999997
-803182.4423336205,202.2268391289192,211.4,-817353.1,-61.74999999999997,-6.011494252873554,-796467,458.0,1902.0,8.85,-0.5800000000000001,1902.0,1017.68,-111.11
-802572.6746300211,204.8619380343144,211.3,-816555.5,-61.849999999999966,-6.111494252873548,-795327,396.0,1903.0,8.81,-0.6199999999999992,1903.0,1370.8,242.01
-802059.8706065303,207.49864546768265,211.2,-815743.6,-61.94999999999999,-6.211494252873571,-794370,418.0,1904.0,8.79,-0.6400000000000006,1904.0,1085.16,-43.62999999999988
-801975.2843758516,202.92172318213744,211.0,-814921.6,-62.14999999999998,-6.41149425287356,-792988,428.0,1905.0,9.0,-0.4299999999999997,1905.0,960.97,-167.81999999999994
-801759.2524242424,202.64710592439064,210.9,-814087.8,-62.24999999999997,-6.511494252873554,-792450,420.0,1906.0,9.01,-0.4199999999999999,1906.0,1020.74,-108.04999999999995
-800922.087424243,198.6572141815183,211.2,-813279.1,-61.94999999999999,-6.211494252873571,-791646,451.0,1907.0,8.69,-0.7400000000000002,1907.0,1101.47,-27.319999999999936
-799286.0590909094,198.68361088983107,211.2,-812472.8,-61.94999999999999,-6.211494252873571,-790877,470.0,1908.0,9.35,-0.08,1908.0,1080.17,-48.61999999999989
-796731.2978787882,200.4894558655116,211.1,-811657.6,-62.04999999999998,-6.311494252873565,-790045,466.0,1909.0,8.62,-0.8100000000000005,1909.0,994.39,-134.39999999999998
-795428.8181818188,197.90878630711256,211.0,-810833.5,-62.14999999999998,-6.41149425287356,-789427,503.0,1910.0,8.88,-0.5499999999999989,1910.0,1176.0,47.21000000000004
-794902.590909091,198.7924036449917,210.9,-809999.6,-62.24999999999997,-6.511494252873554,-788740,483.0,1911.0,9.39,-0.0399999999999991,1911.0,1067.51,-61.27999999999997
-793737.3181818175,204.617506415808,210.5,-809135.2,-62.64999999999998,-6.91149425287356,-788088,540.0,1912.0,8.92,-0.5099999999999998,1912.0,1133.28,4.490000000000009
-793172.454545454,208.7893628439667,210.3,-808252.4,-62.849999999999966,-7.111494252873548,-787312,543.0,1913.0,9.18,-0.25,1913.0,1171.3,42.50999999999999
-791902.7583333338,218.3926416685888,210.7,-807398.4,-62.44999999999999,-6.711494252873571,-786865,562.0,1914.0,9.35,-0.08,1914.0,1176.0,47.21000000000004
-791569.3888888892,213.35775959891657,209.7,-806466.7,-63.44999999999999,-7.711494252873571,-786173,589.0,1915.0,8.69,-0.7400000000000002,1915.0,1147.14,18.350000000000136
-790667.3012121207,214.4503513988741,209.3,-805497.6,-63.849999999999966,-8.111494252873548,-785723,659.0,1916.0,8.92,-0.5099999999999998,1916.0,1293.55,164.76
-790080.783636363,224.68576227610308,209.7,-804565.2,-63.44999999999999,-7.711494252873571,-784988,713.0,1917.0,8.45,-0.9800000000000004,1917.0,1041.17,-87.61999999999989
-789106.8827272729,230.5501346789688,209.6,-803624.1,-63.54999999999998,-7.811494252873565,-784699,699.0,1918.0,9.19,-0.2400000000000002,1918.0,1220.37,91.57999999999991
-788689.4051515154,227.37775029010007,210.0,-802712.5,-63.14999999999998,-7.41149425287356,-784590,739.0,1919.0,8.46,-0.9699999999999988,1919.0,961.95,-166.83999999999992
-788003.0090909094,235.48574308581584,209.6,-801768.9,-63.54999999999998,-7.811494252873565,-784540,723.0,1920.0,9.23,-0.1999999999999993,1920.0,1261.86,133.06999999999994
-787544.0409090909,238.64095357456617,209.6,-800829.6,-63.54999999999998,-7.811494252873565,-784010,677.0,1921.0,10.21,0.7800000000000011,1921.0,957.57,-171.2199999999999
-786741.8715151517,257.0184549055622,209.6,-799883.2,-63.54999999999998,-7.811494252873565,-783436,686.0,1922.0,8.66,-0.7699999999999996,1922.0,1011.51,-117.27999999999996
-786529.2399999999,257.19893666253785,209.9,-798968.2,-63.24999999999997,-7.511494252873554,-782690,639.0,1923.0,8.91,-0.5199999999999996,1923.0,1232.65,103.86000000000011
-785853.5690909092,265.99732874144445,210.2,-798078.2,-62.94999999999999,-7.211494252873571,-782158,653.0,1924.0,9.05,-0.379999999999999,1924.0,1380.22,251.4300000000001
-785405.5127272734,269.3559592885488,211.1,-797261.9,-62.04999999999998,-6.311494252873565,-781478,618.0,1925.0,8.87,-0.5600000000000005,1925.0,1094.42,-34.36999999999989
-784613.2569696968,264.34502908314164,211.9,-796506.8,-61.24999999999997,-5.511494252873554,-780901,639.0,1926.0,9.5,0.0700000000000002,1926.0,1068.07,-60.72000000000003
-784239.6018181813,262.229808343788,212.5,-795794.7,-60.64999999999998,-4.91149425287356,-780007,623.0,1927.0,9.08,-0.3499999999999996,1927.0,1224.1,95.30999999999996
-783569.0509090904,259.66462384723866,212.7,-795100.9,-60.44999999999999,-4.711494252873571,-779683,633.0,1928.0,9.28,-0.1500000000000003,1928.0,1394.25,265.46000000000004
-783084.0824242425,255.84554031289508,213.2,-794441.3,-59.94999999999999,-4.211494252873571,-778795,630.0,1929.0,9.11,-0.3200000000000003,1929.0,1204.17,75.38000000000011
-782311.7558787881,260.9181501208988,214.0,-793827.1,-59.14999999999998,-3.41149425287356,-778145,616.0,1930.0,8.96,-0.4699999999999988,1930.0,1343.4,214.61000000000013
-781248.5296969693,255.01817636257545,214.5,-793245.6,-58.64999999999998,-2.91149425287356,-777333,598.0,1931.0,9.12,-0.3100000000000005,1931.0,1200.41,71.62000000000012
-780778.4496969697,257.43630369580933,215.1,-792694.6,-58.04999999999998,-2.3114942528735654,-776810,614.0,1932.0,9.36,-0.0700000000000002,1932.0,1077.76,-51.02999999999997
-779936.6818181819,251.50919000069743,215.5,-792167.0,-57.64999999999998,-1.91149425287356,-776082,681.0,1933.0,9.69,0.2599999999999998,1933.0,851.38,-277.41
-779612.8318181814,257.21033919112165,215.7,-791649.1,-57.44999999999999,-1.711494252873571,-775460,658.0,1934.0,9.68,0.25,1934.0,1151.2,22.41000000000008
-778769.4363636365,252.52125685420285,216.3,-791159.2,-56.849999999999966,-1.1114942528735483,-774605,601.0,1935.0,9.32,-0.1099999999999994,1935.0,1068.51,-60.27999999999997
-778238.9227272724,254.4321062869957,217.0,-790702.8,-56.14999999999998,-0.4114942528735597,-774044,618.0,1936.0,9.25,-0.1799999999999997,1936.0,1125.43,-3.3599999999999
-777417.5454545458,254.6895620893129,217.4,-790264.4,-55.74999999999997,-0.0114942528735539,-773296,577.0,1937.0,9.12,-0.3100000000000005,1937.0,1135.03,6.240000000000009
-777107.9836363638,254.92704442683268,216.9,-789802.5,-56.24999999999997,-0.511494252873554,-772575,583.0,1938.0,9.62,0.1899999999999995,1938.0,1260.76,131.97000000000003
-776282.7918181821,252.455538875688,216.8,-789338.1,-56.349999999999966,-0.6114942528735483,-771682,549.0,1939.0,9.44,0.0099999999999997,1939.0,1085.78,-43.00999999999999
-775731.7496969699,247.3032103301009,216.7,-788867.8,-56.44999999999999,-0.711494252873571,-771049,566.0,1940.0,9.33,-0.0999999999999996,1940.0,1152.76,23.970000000000027
-774832.6969696968,248.92347258064217,216.1,-788370.5,-57.04999999999998,-1.3114942528735654,-770249,530.0,1941.0,9.02,-0.4100000000000001,1941.0,1006.18,-122.61
-774382.2587878784,245.3180552676516,216.0,-787869.2,-57.14999999999998,-1.4114942528735597,-770064,539.0,1942.0,9.2,-0.2300000000000004,1942.0,1100.91,-27.87999999999988
-773588.0110606056,241.7410824819303,215.7,-787353.2,-57.44999999999999,-1.711494252873571,-769879,543.0,1943.0,9.76,0.33,1943.0,1115.04,-13.75
-773008.808181818,238.3850775692524,215.9,-786845.9,-57.24999999999997,-1.511494252873554,-769591,556.0,1944.0,9.54,0.1099999999999994,1944.0,1128.99,0.2000000000000454
-772094.1363636358,239.2312024030053,215.5,-786316.9,-57.64999999999998,-1.91149425287356,-769255,639.0,1945.0,10.15,0.7200000000000006,1945.0,1058.35,-70.44000000000005
-771734.4690909092,237.7794476149145,215.3,-785782.1,-57.849999999999966,-2.1114942528735483,-768981,647.0,1946.0,9.26,-0.1699999999999999,1946.0,1271.18,142.3900000000001
-771299.8181818182,246.030581800184,215.5,-785257.4,-57.64999999999998,-1.91149425287356,-768652,632.0,1947.0,9.22,-0.209999999999999,1947.0,1277.78,148.99
