CO2 (ppmv),Year
207.28544010704545,-803718.8684046668
202.2268391289192,-803182.4423336205
204.8619380343144,-802572.6746300211
207.49864546768265,-802059.8706065303
202.92172318213744,-801975.2843758516
202.64710592439064,-801759.2524242424
198.6572141815183,-800922.087424243
198.68361088983107,-799286.0590909094
200.4894558655116,-796731.2978787882
197.90878630711256,-795428.8181818188
198.7924036449917,-794902.590909091
204.617506415808,-793737.3181818175
208.7893628439667,-793172.454545454
218.39264166858877,-791902.7583333338
213.35775959891657,-791569.3888888892
214.4503513988741,-790667.3012121207
224.68576227610308,-790080.783636363
230.55013467896876,-789106.8827272729
227.37775029010012,-788689.4051515154
235.48574308581584,-788003.0090909094
238.64095357456617,-787544.0409090909
257.0184549055622,-786741.8715151517
257.19893666253785,-786529.2399999999
265.99732874144445,-785853.5690909092
269.3559592885488,-785405.5127272734
264.34502908314164,-784613.2569696968
262.229808343788,-784239.6018181813
259.66462384723866,-783569.0509090904
255.84554031289508,-783084.0824242425
260.9181501208988,-782311.7558787881
255.01817636257545,-781248.5296969693
257.43630369580933,-780778.4496969697
251.50919000069743,-779936.6818181819
257.21033919112165,-779612.8318181814
252.52125685420285,-778769.4363636365
254.4321062869957,-778238.9227272724
254.6895620893129,-777417.5454545458
254.92704442683268,-777107.9836363638
252.455538875688,-776282.7918181821
247.3032103301009,-775731.7496969699
248.92347258064217,-774832.6969696968
245.3180552676516,-774382.2587878784
241.7410824819303,-773588.0110606056
238.3850775692524,-773008.808181818
239.2312024030053,-772094.1363636358
237.7794476149145,-771734.4690909092
246.03058180018397,-771299.8181818182
243.85475201990903,-771045.6363636361
246.4945680375353,-770787.9595454549
243.88525238228883,-770524.5636363636
239.7120056138232,-770225.2645454548
234.24054819146696,-769862.666666667
236.31890028889168,-769569.3333333333
229.56423626852964,-769070.6666666664
230.62690342109488,-768649.1466666668
225.86635666622996,-767701.4236363642
221.6409365039408,-767111.3843939397
223.8179649132784,-766167.2575757578
224.86466602091244,-765797.1624242424
230.6229188352788,-764858.9121212122
232.11545547204437,-764238.504545454
229.40748753827657,-763901.4848484849
233.66090567198847,-763636.6363636359
222.92608638468548,-763231.816565657
223.89295015434175,-762726.8824242424
219.9481576823577,-761820.5842424238
213.99980285899036,-761151.8036363634
214.6940079861074,-760216.0430303031
216.64080861985224,-759914.4881818183
222.7085788690187,-758989.9418181818
225.61582539678184,-758566.0551515151
225.37366760867587,-758158.2727272728
223.0236554615564,-757928.2121212124
226.94301148021165,-757611.8787878784
222.7200859322036,-757185.6915151512
218.3519526756556,-756412.4157575755
213.61139014973045,-755835.4509090913
209.44507971285617,-754900.6803030302
208.10367110123957,-754616.1684848485
203.2996954570858,-753636.8284848488
199.046053641412,-753164.5775757573
203.90279658442105,-751984.6545454543
195.43388919380428,-751539.0690909092
197.49572596202373,-750615.8818181817
193.54717137122023,-750023.8681818177
191.29603626015796,-749086.2499999993
192.0759223880364,-748756.4409090908
190.17483689562675,-747864.1786666662
188.67887489361215,-747312.9345454549
187.54375693792412,-746386.8809090916
187.9522843282685,-745990.1957575758
187.91988159174213,-745227.0375757577
190.24154927677864,-744669.9260606065
187.29232436787936,-743721.0454545448
188.96881973948896,-742573.1418181813
188.17959977716012,-742009.0763636365
187.3271928405565,-741112.1696969698
188.64664196412704,-740694.7490909089
189.1426274551468,-739924.1339393943
184.7670847091236,-739379.9024242423
183.3925392147808,-738510.9242424242
185.40236646163788,-738156.4524848479
185.6096600660596,-737224.5554545455
191.7441063146352,-736630.9945454549
204.5191038769512,-735710.1154545457
206.92018121563933,-735319.8193939395
213.14402038614645,-734572.2181818187
