Year,CH4 Mean
-797446,399
-796467,458
-795327,396
-794370,418
-792988,428
-792450,420
-791646,451
-790877,470
-790045,466
-789427,503
-788740,483
-788088,540
-787312,543
-786865,562
-786173,589
-785723,659
-784988,713
-784699,699
-784590,739
-784540,723
-784010,677
-783436,686
-782690,639
-782158,653
-781478,618
-780901,639
-780007,623
-779683,633
-778795,630
-778145,616
-777333,598
-776810,614
-776082,681
-775460,658
-774605,601
-774044,618
-773296,577
-772575,583
-771682,549
-771049,566
-770249,530
-770064,539
-769879,543
-769591,556
-769255,639
-768981,647
-768652,632
-768344,630
-768130,622
-767777,616
-767630,587
-767350,570
-766741,568
-765671,486
-765121,519
-764296,467
-763936,462
-763555,470
-763272,500
-763134,535
-762798,518
-762635,563
-762193,549
-761868,556
-761513,538
-760877,521
-760089,474
-759624,473
-758686,454
-758065,462
-757250,434
-756867,421
-756432,486
-756193,498
-756050,498
-755558,505
-755266,480
-755045,473
-754836,439
-754371,419
-753665,445
-753190,429
-752399,406
-752070,410
-750618,431
-749805,401
-749304,428
-748653,408
-748095,400
-747370,378
-746920,409
-746283,392
-745766,405
-745100,402
-744653,428
-744055,415
-743522,432
-742824,421
-742362,422
-741756,439
-741257,422
-740553,402
-740121,409
-739473,388
-738918,414
-738262,411
-737860,403
-737323,408
-736869,407
-736180,423
-735872,508
-735336,542
-734973,561
-734463,546
-734107,541
-733574,518
-733151,531
-732638,520
-732244,519
-731698,530
-731209,525
-730511,521
-730196,537
-729492,512
-729077,538
-728293,545
-727804,551
-726923,530
-726503,559
-725757,531
-725230,541
-724545,504
-723919,561
-722970,478
-722423,581
-721738,560
-721022,566
-719971,515
-719308,491
-718583,401
-717692,408
-716685,392
-716013,403
-715245,399
-714513,435
-713700,531
-713165,570
-712239,577
-711788,593
-711060,597
-710415,588
-709619,573
-709001,591
-708191,556
-707809,568
-707681,611
-706904,521
-706420,512
-705649,505
-705203,519
-704452,610
-704027,610
-703387,585
-702911,602
-702258,588
-701926,593
-701377,582
-700968,605
-700513,594
-700102,584
-699581,571
-699253,595
-698715,578
-698396,581
-697922,566
-697607,594
-697182,604
-696324,588
-696097,605
-695658,604
-694968,624
-694693,645
-694279,643
-694030,647
-693621,632
-693349,652
-692955,635
-692699,639
-692313,629
-692055,615
-691416,590
-691006,602
-690750,596
-690353,557
-690085,570
-689672,568
-689416,584
-688757,561
-688330,549
-688033,555
-687609,540
-687346,557
-686898,542
-686635,538
-686204,527
-685936,529
-685474,538
-684737,523
-684441,521
-683975,514
-683749,508
-682912,520
-682436,504
-682105,499
-681617,498
-681310,494
-680777,543
-680703,523
-680439,505
-679822,486
-679467,482
-678896,490
-678606,466
-678161,446
-677786,460
-677246,544
-677149,500
-676882,494
-676236,495
-675914,491
-675342,464
-675023,466
-674598,455
-674206,536
-673590,551
-673159,554
-672458,564
-672164,562
-671488,512
-671113,529
-670382,471
-669974,462
-669276,439
-669050,483
-668965,489
-667679,396
-666842,390
-666376,385
-665640,365
-665030,374
-664268,376
-662084,414
-660574,384
-659084,402
-657454,359
-655795,344
-654857,398
-654141,414
-652531,397
-650705,409
-648727,414
-646942,426
-644706,429
-642525,429
-641234,386
-640489,369
-637649,373
-634927,373
-632347,361
-629795,376
-627140,356
-625076,386
-624070,474
-623521,478
-622646,573
-622067,572
-621230,618
-620626,661
-619746,627
-619097,609
-617730,602
-616396,604
-615003,611
-613630,617
-612403,620
-611220,601
-610005,620
-608839,593
-607637,583
-606941,577
-606475,578
-605205,538
-603907,533
-602512,503
-601116,526
-599695,542
-598281,534
-596845,544
-595984,496
-595324,465
-593950,448
-593159,463
-592512,539
-591388,510
-590204,483
-588430,428
-587886,480
-586665,468
-585596,451
-584417,470
-580956,482
-580024,488
-579114,484
-578373,505
-578004,521
-577788,609
-577199,618
-576642,602
-576100,602
-575583,579
-575052,597
-574553,584
-574039,589
-573573,581
-573097,600
-572646,605
-572197,620
-571749,598
-571312,613
-570899,612
-570475,614
-570051,604
-569652,610
-569229,594
-568816,597
-568419,580
-567997,588
-567598,589
-567209,590
-566821,589
-566430,613
-566037,615
-565642,603
-565268,620
-564889,626
-564501,618
-564108,627
-563735,577
-563335,589
-562959,581
-562572,579
-562185,550
-561781,554
-561394,529
-560969,532
-560549,495
-560138,497
-559692,486
-559453,484
-558972,464
-558500,511
