EDC3béta,temp
-50.0,218.3
-43.55977,218.3
-37.44019,218.3
-31.64156,218.3
-24.55278,218.3
-17.78422,218.3
-11.01305,218.3
-3.2703,218.3
5.447842,218.3
13.52999,218.3
22.27284,218.3
30.70987,218.3
38.51757,218.3
47.00211,219.2
55.20552,220.4
64.43646,217.7
73.05573,217.0
81.72349,217.4
90.43857,217.4
99.70485,216.9
109.8195,218.2
119.2176,216.8
129.3916,216.3
139.9534,217.8
150.1377,217.0
160.6797,218.4
171.2088,217.7
181.7194,216.7
191.8325,216.2
202.293,217.9
212.5394,215.0
223.471,217.8
233.9967,218.2
244.8395,218.1
255.6953,217.4
266.864,217.3
277.9812,216.0
289.4143,217.1
301.1585,217.6
312.545,216.2
323.9099,217.0
335.5896,216.8
346.8579,217.4
358.6178,216.7
370.9679,216.5
382.9111,215.9
395.2021,216.9
407.2843,217.3
418.6733,217.6
430.4257,215.7
442.5554,217.6
454.3007,217.5
466.2551,216.8
478.2794,216.6
490.3924,217.8
503.0865,215.0
516.0368,216.5
529.475,217.0
542.6268,218.7
555.8396,218.1
568.3494,216.6
580.9313,218.8
593.5725,216.5
606.2219,216.6
619.1082,218.9
631.65,218.4
644.5452,217.7
657.9103,216.4
672.1189,216.8
686.6481,216.8
700.6882,216.9
715.2436,216.4
729.5808,216.0
744.6373,216.5
759.2383,217.3
772.3893,217.2
785.8553,217.7
798.9567,217.4
812.1401,218.0
824.3588,218.3
836.5675,218.6
848.7663,218.9
861.5453,216.4
875.4421,218.0
889.3285,216.0
903.5693,218.3
917.8998,216.4
932.2836,216.7
947.0249,216.9
960.9822,216.7
975.4282,217.8
989.8635,217.0
1004.288,217.0
1018.508,216.5
1032.268,217.6
1046.723,218.4
1060.862,217.8
1075.176,216.7
1089.481,216.6
1104.135,218.1
1118.228,216.9
1132.48,219.0
1146.385,216.5
1160.21,217.1
1173.811,218.3
1187.738,218.4
1201.327,218.3
1215.092,216.9
1229.273,218.0
1243.449,217.8
1258.053,217.7
1272.603,217.3
1287.152,217.1
1302.045,218.6
1315.817,217.6
1330.151,218.3
1344.162,217.3
1357.836,219.0
1371.821,218.3
1385.811,217.3
1399.806,217.4
1415.617,216.9
1431.53,216.7
1447.451,217.0
1462.64,218.5
1478.122,216.5
1493.617,217.1
1509.198,216.9
1524.834,217.2
1540.486,218.3
1556.402,216.5
1571.892,217.5
1587.755,217.7
1603.929,216.3
1620.539,216.6
1637.175,218.2
1653.893,216.2
1669.896,217.8
1685.574,217.8
1701.843,216.6
1719.291,216.9
1736.397,217.3
1753.243,217.5
1769.379,218.0
1785.877,216.0
1802.735,217.7
1820.513,216.4
1837.917,216.4
1854.906,217.8
1871.526,216.4
1888.512,219.2
1905.122,217.4
1921.089,217.4
1936.711,217.0
1953.737,217.6
1970.831,217.1
1987.929,216.7
2005.404,216.4
2023.194,217.4
2041.366,216.5
2058.349,219.1
2075.403,216.7
2092.459,216.7
2109.946,217.9
2127.17,216.8
2144.764,217.1
2162.928,216.4
2181.506,217.0
2199.454,217.0
2216.423,217.6
2233.749,218.3
2250.719,217.7
2268.024,217.1
2285.687,217.6
2304.155,215.4
2324.155,216.0
2344.158,216.8
2363.171,216.6
2381.69,216.5
2400.787,215.5
2420.419,216.7
2440.054,217.4
2459.158,216.8
2477.49,216.8
2496.178,217.6
2513.759,217.0
2530.991,218.4
2548.615,217.3
2566.453,218.0
2584.294,216.7
2601.936,217.8
2619.218,218.3
2636.503,217.5
2654.309,217.3
2673.049,216.9
2691.426,217.3
2709.281,216.6
2727.333,218.7
2745.035,218.4
2761.538,218.3
2777.985,218.4
2794.765,217.5
2811.569,218.8
2828.377,218.6
2845.188,218.6
2863.372,217.5
2880.88,216.8
2898.493,216.5
2916.62,218.0
2935.475,217.8
2954.216,217.1
2973.25,216.6
2992.287,217.5
3010.929,217.0
3029.481,217.6
3047.953,217.6
3065.873,217.4
3083.797,218.1
3101.805,218.4
3119.333,218.7
3136.864,216.0
3156.241,216.6
3177.139,216.2
3198.229,218.1
3217.67,216.7
3237.115,215.7
3257.018,217.9
3276.601,216.7
3296.536,216.4
3315.728,218.2
3335.292,216.8
3355.269,216.0
3375.293,217.5
3395.691,217.2
3415.309,217.0
3434.932,217.3
3454.226,217.5
3472.768,217.9
3491.67,216.4
3510.318,218.8
3528.914,217.6
3547.602,217.2
3566.928,217.6
3586.616,216.8
3605.297,218.4
3623.431,218.3
3641.569,217.7
3659.503,218.1
3677.719,218.5
3695.606,216.5
3713.807,218.9
3732.356,218.8
3750.828,215.9
3770.297,218.6
3789.41,217.6
3808.621,217.8
3828.24,216.8
3847.506,216.6
3867.16,218.2
