Temperature Anomaly [°C],Year(for Temp)
-8.82,1148.338
-8.92,1149.411
-8.88,1150.499
-8.54,1151.557
-8.73,1152.592
-8.53,1153.551
-8.23,1154.444
-7.33,1155.292
-6.51,1156.124
-5.91,1156.921
-5.61,1157.6689999999999
-5.05,1158.382
-4.27,1159.063
-3.7,1159.7179999999998
-3.09,1160.365
-2.59,1160.981
-2.37,1161.558
-1.75,1162.115
-0.54,1162.702
-0.63,1163.2939999999999
-1.04,1163.895
-1.05,1164.53
-1.15,1165.17
-1.71,1165.827
-1.7,1166.472
-2.04,1167.144
-1.84,1167.8200000000002
-2.28,1168.481
-2.37,1169.137
-2.17,1169.7910000000002
-2.13,1170.451
-2.17,1171.127
-2.34,1171.799
-2.67,1172.464
-2.7,1173.1390000000001
-2.69,1173.841
-2.96,1174.558
-3.47,1175.297
-3.82,1176.0430000000001
-4.13,1176.761
-4.52,1177.4470000000001
-4.32,1178.0929999999998
-3.93,1178.751
-3.8,1179.441
-3.84,1180.1689999999999
-4.54,1180.9279999999999
-5.33,1181.701
-6.0,1182.442
-6.4,1183.12
-6.22,1183.762
-5.56,1184.3719999999998
-5.1,1184.984
-4.76,1185.601
-4.72,1186.239
-5.16,1186.917
-5.78,1187.613
-6.72,1188.308
-7.33,1188.978
-7.27,1189.583
-7.12,1190.162
-6.43,1190.7179999999998
-6.07,1191.243
-5.77,1191.7350000000001
-5.3,1192.242
-5.09,1192.78
-5.5,1193.357
-6.25,1193.94
-7.22,1194.525
-7.54,1195.114
-7.79,1195.7
-7.97,1196.284
-8.24,1196.8609999999999
-8.37,1197.4389999999999
-8.42,1198.01
-8.59,1198.5720000000001
-8.58,1199.1219999999998
-8.5,1199.6779999999999
-8.32,1200.234
-8.44,1200.797
-8.6,1201.358
-8.69,1201.909
-8.63,1202.48
-8.62,1203.0529999999999
-8.56,1203.625
-8.56,1204.2179999999998
-8.41,1204.829
-8.67,1205.455
-8.84,1206.066
-8.95,1206.675
-8.6,1207.2930000000001
-8.47,1207.914
-8.25,1208.5349999999999
-8.24,1209.133
-8.08,1209.7060000000001
-7.16,1210.222
-6.27,1210.723
-5.62,1211.201
-5.38,1211.7060000000001
-4.76,1212.191
-4.52,1212.646
-4.47,1213.163
-4.03,1213.645
-3.72,1214.145
-3.99,1214.664
-4.15,1215.1570000000002
-3.95,1215.673
-3.93,1216.1970000000001
-3.79,1216.759
-4.2,1217.3980000000001
-4.85,1218.054
-5.28,1218.6689999999999
-5.23,1219.2910000000002
-5.31,1219.95
-5.69,1220.6309999999999
-5.83,1221.338
-6.05,1222.0520000000001
-5.96,1222.787
-6.1,1223.4650000000001
-5.07,1224.1979999999999
-5.18,1225.018
-5.75,1225.767
-7.14,1226.522
-8.32,1227.466
-8.77,1228.357
-7.9,1229.2359999999999
-7.13,1229.999
-6.92,1230.853
-6.47,1231.6219999999998
-6.23,1232.375
-5.59,1233.1399999999999
-5.26,1233.838
-5.2,1234.521
-4.23,1235.192
-4.02,1235.908
-3.9,1236.5900000000001
-4.29,1237.257
-4.19,1237.913
-4.05,1238.5639999999999
-4.0,1239.194
-4.06,1239.8220000000001
-3.88,1240.409
-4.02,1240.989
-3.5,1241.5639999999999
-3.56,1242.13
-3.67,1242.688
-3.7,1243.22
-3.75,1243.73
-3.46,1244.23
-3.21,1244.713
-3.21,1245.175
-3.05,1245.616
-2.78,1246.0439999999999
-2.45,1246.471
-2.36,1246.886
-2.49,1247.281
-2.4,1247.661
-2.02,1248.048
-1.77,1248.4360000000001
-2.16,1248.8229999999999
-2.31,1249.216
-2.45,1249.596
-2.75,1249.973
-2.49,1250.335
-2.55,1250.683
-2.26,1251.0259999999998
-1.92,1251.366
-1.84,1251.701
-1.88,1252.03
-1.94,1252.363
-1.69,1252.69
-1.86,1253.008
-2.07,1253.327
-1.85,1253.649
-1.77,1253.97
-1.92,1254.287
-1.83,1254.608
-1.94,1254.9279999999999
-2.0,1255.239
-2.08,1255.5610000000001
-1.82,1255.871
-1.86,1256.17
-1.55,1256.4859999999999
-1.6,1256.812
-2.04,1257.129
-2.39,1257.461
-2.5,1257.79
-2.7,1258.112
-2.75,1258.438
-2.51,1258.781
-2.59,1259.12
-3.05,1259.46
-3.05,1259.807
-3.14,1260.164
-3.35,1260.5140000000001
-3.7,1260.864
-3.5,1261.214
-3.36,1261.565
-3.44,1261.9299999999998
-3.5,1262.292
-3.73,1262.658
-3.97,1263.0349999999999
-4.07,1263.411
-4.41,1263.789
-4.61,1264.1770000000001
-4.62,1264.569
-4.68,1264.975
-4.83,1265.3899999999999
-5.23,1265.8020000000001
-5.46,1266.208
-5.34,1266.629
-5.2,1267.088
-5.58,1267.567
-6.02,1268.065
-6.95,1268.551
-7.34,1269.013
-7.02,1269.458
-6.46,1269.8780000000002
-5.95,1270.279
-5.15,1270.731
-4.67,1271.22
