year,month,meant,rain
1941,11,6.9,67.2
1941,12,6.5,41.7
1942,1,4.3,91.9
1942,2,2.9,25.8
1942,3,6.3,76.4
1942,4,8.4,36.9
1942,5,10.4,108.2
1942,6,13.1,4.0
1942,7,14.6,57.0
1942,8,14.9,93.0
1942,9,12.5,122.4
1942,10,9.4,33.0
1942,11,5.1,9.7
1942,12,7.4,62.1
1943,1,5.9,107.2
1943,2,6.7,22.0
1943,3,6.9,20.3
1943,4,9.8,33.9
1943,5,10.0,88.1
1943,6,13.2,80.6
1943,7,14.8,45.1
1943,8,14.4,50.5
1943,9,12.2,76.7
1943,10,10.6,53.8
1943,11,6.6,52.7
1943,12,5.1,38.0
1944,1,7.0,84.6
1944,2,4.8,25.5
1944,3,5.7,11.5
1944,4,9.6,44.1
1944,5,10.6,18.9
1944,6,12.6,31.6
1944,7,15.0,57.7
1944,8,15.6,56.9
1944,9,11.6,146.4
1944,10,8.7,72.1
1944,11,6.5,124.2
1944,12,5.1,48.9
1945,1,2.0,30.9
1945,2,7.6,56.7
1945,3,8.5,14.7
1945,4,9.2,37.4
1945,5,10.7,49.4
1945,6,13.4,83.4
1945,7,15.1,82.9
1945,8,14.8,24.0
1945,9,13.7,66.6
1945,10,11.5,43.6
1945,11,8.2,15.3
1945,12,6.7,86.5
1946,1,4.7,59.8
1946,2,5.9,89.0
1946,3,6.0,43.0
1946,4,8.6,32.3
1946,5,9.3,56.0
1946,6,12.1,74.6
1946,7,14.5,61.8
1946,8,13.3,128.3
1946,9,12.8,145.6
1946,10,10.5,51.9
1946,11,7.9,101.2
1946,12,4.1,78.2
1947,1,3.9,69.9
1947,2,0.2,62.3
1947,3,3.9,147.5
1947,4,8.1,71.6
1947,5,10.6,87.9
1947,6,13.1,104.6
1947,7,14.3,69.2
1947,8,16.3,32.7
1947,9,13.6,59.5
1947,10,11.3,18.5
1947,11,7.5,73.1
1947,12,5.6,119.1
1948,1,4.8,171.4
1948,2,5.3,35.3
1948,3,8.7,39.2
1948,4,8.2,62.5
1948,5,9.7,64.3
1948,6,12.4,71.1
1948,7,14.2,57.0
1948,8,14.3,88.6
1948,9,13.0,53.1
1948,10,10.2,39.1
1948,11,9.0,41.6
1948,12,6.5,106.9
1949,1,6.2,53.4
1949,2,6.6,25.8
1949,3,6.1,57.6
1949,4,9.2,46.1
1949,5,10.2,40.4
1949,6,14.3,22.3
1949,7,15.6,40.7
1949,8,15.2,80.3
1949,9,14.7,23.1
1949,10,11.3,96.3
1949,11,7.1,36.5
1949,12,5.9,74.8
1950,1,6.0,10.5
1950,2,5.5,107.3
1950,3,7.4,33.6
1950,4,7.1,51.1
1950,5,10.6,41.6
1950,6,14.6,28.8
1950,7,14.7,81.6
1950,8,14.2,145.8
1950,9,11.8,102.8
1950,10,9.8,78.4
1950,11,5.3,50.9
1950,12,2.2,62.3
1951,1,4.3,69.5
1951,2,3.2,60.4
1951,3,4.4,85.9
1951,4,6.1,28.6
1951,5,8.8,52.8
1951,6,12.9,22.9
1951,7,15.0,47.9
1951,8,13.8,83.3
1951,9,13.4,71.4
1951,10,10.8,13.8
1951,11,7.6,125.6
1951,12,5.6,81.3
1952,1,3.0,87.0
1952,2,4.1,14.1
1952,3,6.9,31.1
1952,4,8.6,39.0
1952,5,11.7,54.3
1952,6,13.1,39.2
1952,7,15.5,28.7
1952,8,14.9,98.4
1952,9,10.5,61.1
1952,10,9.2,85.5
1952,11,5.6,88.8
1952,12,4.5,50.0
1953,1,5.2,15.8
1953,2,5.7,44.8
1953,3,5.7,9.3
1953,4,6.7,65.5
1953,5,11.9,50.9
1953,6,13.4,38.6
1953,7,14.7,78.7
1953,8,15.0,76.8
1953,9,13.5,43.8
1953,10,10.1,42.3
1953,11,8.4,62.6
1953,12,7.6,51.5
1954,1,4.5,33.4
1954,2,4.4,59.3
1954,3,6.2,54.1
1954,4,8.0,14.3
1954,5,10.3,95.6
1954,6,12.5,38.7
1954,7,13.7,55.2
1954,8,13.5,70.8
1954,9,11.7,56.5
1954,10,11.4,133.9
1954,11,6.6,100.9
1954,12,7.3,100.3
1955,1,4.0,86.2
1955,2,2.1,68.1
1955,3,4.2,31.7
1955,4,9.4,21.3
1955,5,9.1,61.8
1955,6,12.7,113.9
1955,7,16.1,14.1
1955,8,16.8,85.3
1955,9,13.8,47.6
1955,10,8.7,25.4
1955,11,8.1,45.7
1955,12,6.7,108.4
1956,1,3.9,88.4
1956,2,2.2,30.7
1956,3,6.9,45.6
1956,4,7.5,47.6
1956,5,11.2,16.1
1956,6,12.7,53.9
1956,7,14.6,98.5
1956,8,12.9,155.0
1956,9,13.4,90.3
1956,10,9.6,41.1
1956,11,7.1,31.5
1956,12,7.0,89.1
1957,1,6.1,52.2
1957,2,5.1,60.0
1957,3,9.5,70.3
1957,4,8.2,26.4
1957,5,10.3,77.1
1957,6,13.5,48.5
1957,7,15.1,86.9
1957,8,14.4,88.3
1957,9,12.0,131.7
1957,10,10.2,71.7
1957,11,6.9,39.3
1957,12,5.7,74.9
1958,1,4.7,40.0
1958,2,5.4,101.6
1958,3,4.4,23.4
1958,4,7.8,29.9
1958,5,10.0,103.9
1958,6,13.0,168.5
1958,7,14.6,109.5
1958,8,14.7,140.6
1958,9,14.3,128.8
1958,10,10.7,52.0
1958,11,8.1,45.4
1958,12,5.4,90.3
1959,1,3.1,47.4
1959,2,6.4,13.1
1959,3,7.4,39.7
1959,4,8.5,44.1
1959,5,11.4,73.6
1959,6,14.0,37.2
1959,7,15.8,45.2
1959,8,15.9,17.6
1959,9,14.3,24.3
1959,10,11.7,106.7
1959,11,7.3,89.6
1959,12,6.2,132.1
1960,1,5.1,87.4
1960,2,4.1,35.2
1960,3,6.6,97.2
1960,4,8.9,27.2
1960,5,12.0,52.4
1960,6,14.6,51.1
1960,7,14.6,139.8
1960,8,14.2,86.3
1960,9,12.3,81.2
1960,10,10.1,161.3
1960,11,7.1,117.7
1960,12,4.1,95.4
1961,1,4.4,106.3
1961,2,7.8,50.8
1961,3,8.8,4.0
1961,4,9.4,90.4
1961,5,10.7,29.6
1961,6,13.4,42.4
1961,7,14.0,52.6
1961,8,14.3,47.3
1961,9,13.6,86.4
1961,10,9.8,58.8
1961,11,6.8,52.8
1961,12,4.0,57.1
1962,1,4.9,41.1
1962,2,5.4,26.7
1962,3,3.5,53.6
1962,4,7.5,40.8
1962,5,10.0,56.8
1962,6,12.4,24.9
1962,7,13.7,68.0
1962,8,13.7,73.1
1962,9,11.8,129.2
1962,10,10.4,16.8
1962,11,6.6,47.9
1962,12,4.8,75.3
1963,1,0.9,41.1
1963,2,1.9,61.9
1963,3,6.6,65.2
1963,4,7.9,47.0
1963,5,9.6,42.0
1963,6,13.2,54.3
1963,7,13.9,23.5
1963,8,13.6,103.1
1963,9,12.2,44.9
1963,10,11.0,47.6
1963,11,7.7,95.9
1963,12,5.0,16.4
1964,1,6.1,14.8
1964,2,5.3,28.3
1964,3,5.5,106.6
1964,4,8.2,62.3
1964,5,11.9,45.4
1964,6,13.0,51.0
1964,7,15.1,47.4
1964,8,14.5,81.3
1964,9,13.6,51.7
1964,10,9.2,62.3
1964,11,8.0,26.2
1964,12,4.9,111.8
1965,1,3.9,97.3
1965,2,4.1,4.7
1965,3,6.0,54.6
1965,4,8.3,45.4
1965,5,10.9,51.9
1965,6,13.6,72.9
1965,7,13.1,79.2
1965,8,14.2,55.4
1965,9,11.8,67.7
1965,10,11.2,41.4
1965,11,5.3,182.3
1965,12,5.0,97.1
1966,1,5.0,94.6
1966,2,6.4,114.5
1966,3,7.2,40.2
1966,4,7.0,151.8
1966,5,10.8,52.3
1966,6,14.3,119.5
1966,7,14.4,37.1
1966,8,14.2,56.5
1966,9,14.1,61.3
1966,10,9.2,132.9
1966,11,5.6,43.3
1966,12,5.9,115.1
1967,1,5.4,48.5
1967,2,5.7,83.8
1967,3,6.8,26.4
1967,4,8.6,33.9
1967,5,8.9,129.4
1967,6,13.8,11.4
1967,7,15.4,83.7
1967,8,14.3,64.3
1967,9,12.9,115.5
1967,10,9.8,94.4
1967,11,6.2,45.7
1967,12,5.3,45.5
1968,1,5.7,96.1
1968,2,3.2,15.9
1968,3,6.4,41.5
1968,4,7.3,58.6
1968,5,9.2,51.8
1968,6,13.8,51.4
1968,7,14.2,15.9
1968,8,15.0,106.6
1968,9,13.5,103.5
1968,10,12.5,59.8
1968,11,8.1,78.8
1968,12,5.2,109.1
1969,1,5.6,105.4
1969,2,2.1,41.8
1969,3,4.4,46.9
1969,4,7.7,62.3
1969,5,10.4,111.2
1969,6,13.0,46.4
1969,7,16.0,43.8
1969,8,15.2,34.1
1969,9,13.0,44.9
1969,10,13.1,11.1
1969,11,5.1,90.0
1969,12,4.9,63.5
1970,1,4.8,62.5
1970,2,3.9,60.4
1970,3,4.9,32.5
1970,4,7.0,85.3
1970,5,12.3,13.2
1970,6,15.1,31.6
1970,7,14.6,68.2
1970,8,14.7,68.3
1970,9,13.4,53.8
1970,10,10.8,59.2
1970,11,7.6,128.0
1970,12,5.6,50.6
1971,1,6.0,39.4
1971,2,5.9,39.7
1971,3,5.9,78.8
1971,4,7.7,52.4
1971,5,10.4,34.0
1971,6,12.3,71.8
1971,7,15.7,62.8
1971,8,14.7,66.9
1971,9,14.7,27.0
1971,10,12.6,34.4
1971,11,7.2,48.0
1971,12,7.8,36.4
1972,1,4.9,110.6
1972,2,5.6,59.7
1972,3,6.4,50.1
1972,4,8.5,49.2
1972,5,10.1,66.7
1972,6,11.3,58.6
1972,7,14.9,41.1
1972,8,13.9,24.0
1972,9,12.2,7.5
1972,10,11.3,40.8
1972,11,6.3,78.2
1972,12,7.3,82.6
1973,1,6.6,52.2
1973,2,5.4,32.5
1973,3,6.9,11.1
1973,4,7.3,48.1
1973,5,10.6,70.9
1973,6,14.3,20.2
1973,7,14.8,72.8
1973,8,15.2,108.9
1973,9,13.5,76.2
1973,10,10.0,59.2
1973,11,6.9,60.8
1973,12,5.8,72.7
1974,1,7.0,81.4
1974,2,5.9,50.9
1974,3,6.2,31.7
1974,4,7.9,43.4
1974,5,10.2,87.6
1974,6,12.7,39.5
1974,7,14.3,99.7
1974,8,14.4,30.2
1974,9,11.1,116.0
1974,10,7.9,26.6
1974,11,6.4,57.7
1974,12,8.3,37.9
1975,1,6.6,82.6
1975,2,6.3,26.2
1975,3,5.5,43.3
1975,4,8.5,42.8
1975,5,9.4,43.4
1975,6,14.0,14.9
1975,7,16.4,27.8
1975,8,16.3,35.9
1975,9,12.3,124.3
1975,10,11.2,55.1
1975,11,7.3,54.3
1975,12,5.9,33.1
1976,1,6.4,66.1
1976,2,6.0,29.3
1976,3,6.0,65.8
1976,4,8.1,17.7
1976,5,10.7,47.7
1976,6,15.7,22.5
1976,7,16.0,82.8
1976,8,16.2,6.6
1976,9,12.6,144.3
1976,10,9.7,156.7
1976,11,6.4,39.1
1976,12,3.4,48.0
1977,1,3.3,57.8
1977,2,5.6,124.4
1977,3,7.4,57.3
1977,4,7.2,43.4
1977,5,10.0,22.5
1977,6,12.3,65.5
1977,7,15.5,26.1
1977,8,15.1,68.1
1977,9,13.0,29.2
1977,10,12.0,76.5
1977,11,5.8,53.8
1977,12,7.4,65.1
